ISBN,bookTitle,bookAuthor,yearOfPublication,publisher,imageUrlS,imageUrlM,imageUrlL,index
0345391691,The Battle for God,Karen Armstrong,2001,Ballantine Books,http://images.amazon.com/images/P/0345391691.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345391691.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345391691.01.LZZZZZZZ.jpg,310
8486433193,Amorrada al pilÃ³ (Columna),Maria JaÃ©n,1986,Columna,http://images.amazon.com/images/P/8486433193.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/8486433193.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/8486433193.01.LZZZZZZZ.jpg,443
0380978539,"Dear Stranger, Dearest Friend",Laney Katz Becker,2000,William Morrow &amp; Company,http://images.amazon.com/images/P/0380978539.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380978539.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380978539.01.LZZZZZZZ.jpg,768
0747538069,The Adventures of Dougal,Eric Thompson,1998,Bloomsbury Publishing PLC,http://images.amazon.com/images/P/0747538069.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0747538069.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0747538069.01.LZZZZZZZ.jpg,831
0810935627,Loving,Charles Sullivan,1992,Harry N Abrams,http://images.amazon.com/images/P/0810935627.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0810935627.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0810935627.01.LZZZZZZZ.jpg,1105
0451135555,Summer Harvest,Madge Swindells,1985,Signet Book,http://images.amazon.com/images/P/0451135555.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451135555.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451135555.01.LZZZZZZZ.jpg,1571
0679412271,Where the Suckers Moon: An Advertising Story,Randall Rothenberg,1994,Alfred A. Knopf,http://images.amazon.com/images/P/0679412271.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679412271.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679412271.01.LZZZZZZZ.jpg,1663
0440208912,Harvest,BELVA PLAIN,1991,Dell,http://images.amazon.com/images/P/0440208912.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440208912.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440208912.01.LZZZZZZZ.jpg,1786
0374517886,The Collected Stories of Isaac Bashevis Singer,Isaac Bashevis Singer,1983,Farrar Straus Giroux,http://images.amazon.com/images/P/0374517886.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0374517886.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0374517886.01.LZZZZZZZ.jpg,1846
0375700382,The Fight: Norman Mailer,Norman Mailer,1997,Vintage Books USA,http://images.amazon.com/images/P/0375700382.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375700382.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375700382.01.LZZZZZZZ.jpg,1905
0345454073,The Homing,John Saul,2002,Ballantine Books,http://images.amazon.com/images/P/0345454073.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345454073.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345454073.01.LZZZZZZZ.jpg,2032
0140254544,A Light in the Window (The Mitford Years),Jan Karon,1996,Penguin Books,http://images.amazon.com/images/P/0140254544.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140254544.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140254544.01.LZZZZZZZ.jpg,2102
0609605623,You're Fifty--Now What?: Investing for the Second Half of Your Life,Charles R. Schwab,2000,Crown Business,http://images.amazon.com/images/P/0609605623.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0609605623.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0609605623.01.LZZZZZZZ.jpg,2222
0345337662,Interview with the Vampire,Anne Rice,1993,Ballantine Books,http://images.amazon.com/images/P/0345337662.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345337662.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345337662.01.LZZZZZZZ.jpg,2527
0380811065,Lady Sophia's Lover,Lisa Kleypas,2002,Avon,http://images.amazon.com/images/P/0380811065.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380811065.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380811065.01.LZZZZZZZ.jpg,2741
0804108447,Druids,MORGAN LLYWELYN,1992,Del Rey,http://images.amazon.com/images/P/0804108447.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0804108447.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0804108447.01.LZZZZZZZ.jpg,2792
0671002406,"Her Klingon Soul (Star Trek Voyager: Day of Honor, Book 3)",Michael Jan Friedman,1997,Star Trek,http://images.amazon.com/images/P/0671002406.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671002406.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671002406.01.LZZZZZZZ.jpg,2888
0679741410,Writers Dreaming: 26 Writers Talk About Their Dreams and the Creative Process,Naomi Epel,1994,Vintage Books USA,http://images.amazon.com/images/P/0679741410.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679741410.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679741410.01.LZZZZZZZ.jpg,2994
0345272579,The Hobbit,J. R. R. Tolkien,1977,Ballantine Books,http://images.amazon.com/images/P/0345272579.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345272579.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345272579.01.LZZZZZZZ.jpg,3357
0393038173,"How Late It Was, How Late",James Kelman,1994,W W Norton &amp; Co Inc,http://images.amazon.com/images/P/0393038173.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0393038173.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0393038173.01.LZZZZZZZ.jpg,3579
2842772032,Paysages de Bretagne,Philip Plisson,1999,Editions du ChÃ?Âªne,http://images.amazon.com/images/P/2842772032.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2842772032.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2842772032.01.LZZZZZZZ.jpg,3921
0486282694,"Winesburg, Ohio (Dover Thrift Editions)",Sherwood Anderson,1995,Dover Publications,http://images.amazon.com/images/P/0486282694.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0486282694.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0486282694.01.LZZZZZZZ.jpg,4175
0375703764,House of Leaves,Mark Z. Danielewski,2000,Pantheon Books,http://images.amazon.com/images/P/0375703764.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375703764.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375703764.01.LZZZZZZZ.jpg,4292
0446523321,The Simple Truth,David Baldacci,1998,Warner Books Inc,http://images.amazon.com/images/P/0446523321.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446523321.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446523321.01.LZZZZZZZ.jpg,4295
1400041988,Pnin,VLADIMIR NABOKOV,2004,Everyman's Library,http://images.amazon.com/images/P/1400041988.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1400041988.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1400041988.01.LZZZZZZZ.jpg,4342
051512608X,The Reef,Nora Roberts,1999,Jove Books,http://images.amazon.com/images/P/051512608X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/051512608X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/051512608X.01.LZZZZZZZ.jpg,4393
0006513409,The making of Minty Malone,Isabel Wolff,1999,HarperCollins,http://images.amazon.com/images/P/0006513409.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0006513409.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0006513409.01.LZZZZZZZ.jpg,4447
0312309295,Some Days There's Pie: A Novel,Catherine Landis,2003,St. Martin's Press,http://images.amazon.com/images/P/0312309295.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312309295.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312309295.01.LZZZZZZZ.jpg,4489
0395272238,The Fellowship of the Ring (Lord of the Rings (Paperback)),J. R. R. Tolkien,1988,Houghton Mifflin,http://images.amazon.com/images/P/0395272238.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0395272238.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0395272238.01.LZZZZZZZ.jpg,4515
342310001X,"Fursorgliche Belagerung (Fiction, Poetry and Drama)",Boll,0,Deutscher Taschenbuch Verlag (DTV),http://images.amazon.com/images/P/342310001X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/342310001X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/342310001X.01.LZZZZZZZ.jpg,4614
0812550390,Listeners,Christopher Pike,1998,Tor Books (Mm),http://images.amazon.com/images/P/0812550390.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812550390.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812550390.01.LZZZZZZZ.jpg,4699
0345379330,"Mostly Harmless (Hitchhiker's Trilogy, No 5)",Douglas Adams,1993,Ballantine Books,http://images.amazon.com/images/P/0345379330.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345379330.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345379330.01.LZZZZZZZ.jpg,4812
0399151435,A Death in Vienna,Daniel Silva,2004,Putnam Publishing Group,http://images.amazon.com/images/P/0399151435.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399151435.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399151435.01.LZZZZZZZ.jpg,4827
0140510028,Dictionary of Geography (Reference Books),Wilfred George Moore,1985,Penguin USA,http://images.amazon.com/images/P/0140510028.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140510028.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140510028.01.LZZZZZZZ.jpg,4904
3462031112,Affenliebe. Die Geschichte eines langen Entzugs.,Silvana Klein,2002,Kiepenheuer &amp; Witsch,http://images.amazon.com/images/P/3462031112.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3462031112.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3462031112.01.LZZZZZZZ.jpg,5037
3775713328,Ernst Luwig Kirchner: Mountain Life: The Early Years in Davos 1917-1926,Ernst Ludwig Kirchner,2003,Hatje Cantz Publishers,http://images.amazon.com/images/P/3775713328.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3775713328.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3775713328.01.LZZZZZZZ.jpg,5085
155583356X,"Generation Q: Gays, Lesbians, and Bisexuals Born Around 1969's Stonewall Riots Tell Their Stories of Growing Up in the Age of Information",Robin Bernstien,1996,Consortium Book Sales &amp; Dist,http://images.amazon.com/images/P/155583356X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/155583356X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/155583356X.01.LZZZZZZZ.jpg,5200
031242227X,Running with Scissors: A Memoir,Augusten Burroughs,2003,Picador USA,http://images.amazon.com/images/P/031242227X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/031242227X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/031242227X.01.LZZZZZZZ.jpg,5311
0399507914,Drawing the Head and Figure,Jack Hamm,1983,Perigee Books,http://images.amazon.com/images/P/0399507914.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399507914.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399507914.01.LZZZZZZZ.jpg,5509
0812550897,"The Wandering Arm (Catherine Levendevr Mystery Series , Vol 3)",Sharan Newman,1996,Tor Books (Mm),http://images.amazon.com/images/P/0812550897.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812550897.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812550897.01.LZZZZZZZ.jpg,5698
0140063838,Clinging to the Wreckage,John Mortimer,1983,Penguin Books Ltd,http://images.amazon.com/images/P/0140063838.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140063838.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140063838.01.LZZZZZZZ.jpg,5921
0449204553,A Walk Across America,Peter Jenkins,1989,Fawcett Books,http://images.amazon.com/images/P/0449204553.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449204553.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449204553.01.LZZZZZZZ.jpg,6262
0812540034,Illumination,Terry McGarry,2002,Tor Books,http://images.amazon.com/images/P/0812540034.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812540034.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812540034.01.LZZZZZZZ.jpg,6284
0451163524,"The Drawing of the Three (The Dark Tower, Book 2)",Stephen King,1997,Signet Book,http://images.amazon.com/images/P/0451163524.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451163524.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451163524.01.LZZZZZZZ.jpg,6380
0451163540,Triple,Ken Follett,1991,Signet Book,http://images.amazon.com/images/P/0451163540.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451163540.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451163540.01.LZZZZZZZ.jpg,6450
0672324253,Sams Teach Yourself C++ in 10 Minutes (2nd Edition),Jesse Liberty,2002,SAMS,http://images.amazon.com/images/P/0672324253.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0672324253.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0672324253.01.LZZZZZZZ.jpg,6492
0688156142,The Forgotten: A Peter Decker/Rina Lazarus Novel,Faye Kellerman,2001,William Morrow &amp; Company,http://images.amazon.com/images/P/0688156142.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0688156142.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0688156142.01.LZZZZZZZ.jpg,6929
0441007554,All Tomorrow's Parties,William Gibson,2000,Ace Books,http://images.amazon.com/images/P/0441007554.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0441007554.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0441007554.01.LZZZZZZZ.jpg,6935
0425135721,McNally's Secret (Archy McNally Novels (Paperback)),Lawrence Sanders,1994,Berkley Publishing Group,http://images.amazon.com/images/P/0425135721.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425135721.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425135721.01.LZZZZZZZ.jpg,7062
067978148X,The Rules of Attraction,Bret Easton Ellis,1998,Vintage Books USA,http://images.amazon.com/images/P/067978148X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/067978148X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/067978148X.01.LZZZZZZZ.jpg,7314
